Dimensionality,Model,Split,Distance,Accuracy Mean,Accuracy Std,Time (s),Accuracy %
UMAP,kNN,60/30/10,chebyshev,0.9379881845982764,0.007552657182210074,0.348905086517334,93.79881845982764
UMAP,Linear,50/25/25,N/A,0.9084,0.009769339793455858,10.223150253295898,90.84
UMAP,kNN,50/25/25,euclidean,0.9084,0.009769339793455858,9.161426067352295,90.84
UMAP,kNN,50/25/25,euclidean,0.9372,0.005344155686354915,0.29407787322998047,93.72
UMAP,kNN,50/25/25,manhattan,0.9084,0.009769339793455858,6.963644742965698,90.84
UMAP,kNN,50/25/25,manhattan,0.9384,0.005986651818838263,0.4495522975921631,93.84
UMAP,kNN,50/25/25,chebyshev,0.9084,0.009769339793455858,9.58406376838684,90.84
UMAP,kNN,50/25/25,chebyshev,0.9368000000000001,0.005635601121442113,0.319988489151001,93.68
UMAP,Linear,40/30/30,N/A,0.9172499999999999,0.007044501401802698,9.580600261688232,91.725
UMAP,kNN,40/30/30,euclidean,0.9172499999999999,0.007044501401802698,8.10880446434021,91.725
UMAP,kNN,40/30/30,euclidean,0.938,0.003122498999199209,0.2505526542663574,93.8
UMAP,kNN,40/30/30,manhattan,0.9172499999999999,0.007044501401802698,6.237066030502319,91.725
UMAP,kNN,40/30/30,manhattan,0.9397500000000001,0.004898979485566332,0.24714112281799316,93.97500000000001
UMAP,kNN,40/30/30,chebyshev,0.9172499999999999,0.007044501401802698,9.644475936889648,91.725
UMAP,kNN,40/30/30,chebyshev,0.93725,0.0032015621187164167,0.23241162300109863,93.72500000000001
